Call_ID,Call_Start_Time,Call_End_Time,Call_Duration_sec,Caller_Number,IVR_Path,Call_Status,Agent_ID,Call_Disposition
1,2025-06-03 15:42:04,2025-06-03 16:03:57,1313,58267773391135,/info/hours,missed,AID003,Left Message
2,2025-05-25 04:37:56,2025-05-25 04:57:59,1203,71671481296426,/info/hours,failed,AID001,Left Message
3,2025-05-18 01:45:56,2025-05-18 01:52:32,396,15325390033399,/info/hours,completed,AID044,Escalated
4,2025-06-08 19:15:00,2025-06-08 19:35:56,1256,5209026234255,/support/billing,busy,AID042,Resolved
5,2025-05-27 09:55:29,2025-05-27 10:48:15,3166,7235247482,/sales/upgrade,busy,AID003,No Answer
6,2025-05-23 14:55:10,2025-05-23 14:58:40,210,8918939629,/info/location,no_answer,AID023,No Answer
7,2025-06-05 12:36:10,2025-06-05 13:34:02,3472,243134565011,/support/tech,busy,AID026,Callback Scheduled
8,2025-05-11 08:57:55,2025-05-11 09:06:09,494,34425022793,/main/menu3,busy,AID015,Resolved
9,2025-05-25 08:55:56,2025-05-25 09:48:58,3182,72047304266149,/main/menu1,missed,AID050,Left Message
10,2025-05-26 03:32:58,2025-05-26 03:36:55,237,96446095502,/support/billing,missed,AID049,Left Message
11,2025-05-09 21:12:04,2025-05-09 21:46:32,2068,7862444428,/info/hours,busy,AID006,Left Message
12,2025-06-08 13:42:43,2025-06-08 14:41:01,3498,06476779264,/main/menu1,no_answer,AID040,No Answer
13,2025-06-06 13:16:52,2025-06-06 14:03:36,2804,676722244367,/support/tech,no_answer,AID020,Left Message
14,2025-05-15 22:17:24,2025-05-15 22:49:40,1936,985244821763,/main/menu2,missed,AID006,Left Message
15,2025-05-09 17:52:20,2025-05-09 18:49:30,3430,94244732160293,/info/hours,failed,AID041,Callback Scheduled
16,2025-06-05 16:44:12,2025-06-05 16:53:37,565,09219231312424,/main/menu3,completed,AID012,Escalated
17,2025-05-24 13:39:30,2025-05-24 14:11:04,1894,4438251401,/main/menu2,completed,AID048,Callback Scheduled
18,2025-05-30 12:25:01,2025-05-30 12:36:56,715,761397202791422,/sales/new,completed,AID033,Resolved
19,2025-05-24 19:49:47,2025-05-24 19:53:26,219,57537287820459,/info/location,busy,AID004,Resolved
20,2025-05-20 20:00:32,2025-05-20 20:10:40,608,010078190387747,/main/menu2,failed,AID019,No Answer
21,2025-05-23 07:29:30,2025-05-23 08:23:54,3264,4178718386593,/support/tech,completed,AID043,Escalated
22,2025-05-31 16:41:10,2025-05-31 17:15:03,2033,28663111907,/feedback,completed,AID034,Resolved
23,2025-05-28 07:03:28,2025-05-28 07:22:26,1138,2217107317958,/feedback,missed,AID001,No Answer
24,2025-05-17 07:14:46,2025-05-17 07:57:36,2570,97026857238,/main/menu3,failed,AID049,Callback Scheduled
25,2025-05-29 01:23:57,2025-05-29 01:56:26,1949,5532502701,/main/menu3,no_answer,AID018,Escalated
26,2025-05-10 07:54:21,2025-05-10 08:35:36,2475,4897855719,/support/billing,failed,AID041,Escalated
27,2025-05-17 21:49:38,2025-05-17 22:42:16,3158,935545797178299,/sales/new,no_answer,AID020,Resolved
28,2025-05-11 06:43:01,2025-05-11 06:53:34,633,56415764062295,/support/billing,missed,AID029,Resolved
29,2025-06-04 02:56:51,2025-06-04 02:59:11,140,236679468369831,/sales/upgrade,busy,AID031,No Answer
30,2025-05-21 12:40:56,2025-05-21 13:00:42,1186,73409629036575,/sales/new,failed,AID004,Escalated
31,2025-05-11 17:16:32,2025-05-11 17:48:07,1895,68057383618418,/feedback,completed,AID049,Escalated
32,2025-05-21 11:05:15,2025-05-21 11:51:38,2783,3583905082,/main/menu2,no_answer,AID002,Callback Scheduled
33,2025-05-11 02:14:53,2025-05-11 02:55:03,2410,302336105463485,/info/location,failed,AID011,Callback Scheduled
34,2025-05-31 09:01:12,2025-05-31 09:03:06,114,52919379769,/main/menu1,missed,AID020,Left Message
35,2025-05-21 23:34:12,2025-05-21 23:53:59,1187,3606356633083,/main/menu1,no_answer,AID033,Left Message
36,2025-05-29 23:26:51,2025-05-29 23:31:08,257,661285403868804,/main/menu2,busy,AID004,Escalated
37,2025-05-16 15:13:44,2025-05-16 15:24:53,669,356163987496850,/sales/new,missed,AID003,No Answer
38,2025-05-11 11:11:25,2025-05-11 12:04:01,3156,589330041393935,/main/menu1,no_answer,AID012,Resolved
39,2025-06-08 09:40:01,2025-06-08 10:37:48,3467,83239494386,/support/billing,missed,AID003,Left Message
40,2025-06-07 01:49:16,2025-06-07 02:21:33,1937,664609840835,/sales/upgrade,no_answer,AID002,No Answer
41,2025-05-15 18:10:07,2025-05-15 18:33:35,1408,45317133971378,/sales/upgrade,no_answer,AID010,Escalated
42,2025-06-05 15:01:10,2025-06-05 15:27:04,1554,430306220286909,/info/location,no_answer,AID049,Resolved
43,2025-06-07 21:00:57,2025-06-07 21:06:37,340,863074503196004,/info/hours,failed,AID042,Left Message
44,2025-06-07 10:52:17,2025-06-07 11:47:44,3327,866162490863752,/sales/upgrade,busy,AID010,Resolved
45,2025-05-24 01:34:45,2025-05-24 01:43:46,541,8465377597,/feedback,missed,AID034,Escalated
46,2025-05-27 21:59:23,2025-05-27 22:46:37,2834,716465273247519,/info/location,busy,AID008,Left Message
47,2025-06-09 01:12:50,2025-06-09 01:43:34,1844,5074305287,/support/billing,completed,AID046,Resolved
48,2025-05-11 22:30:41,2025-05-11 22:51:53,1272,725318955610130,/support/tech,failed,AID015,Callback Scheduled
49,2025-05-11 11:35:33,2025-05-11 12:17:14,2501,857696661720,/feedback,busy,AID025,Resolved
50,2025-06-03 15:22:09,2025-06-03 15:34:51,762,806072626023852,/main/menu1,completed,AID033,Left Message
51,2025-05-27 20:02:20,2025-05-27 20:23:43,1283,2267989947401,/main/menu1,no_answer,AID016,No Answer
52,2025-05-29 23:31:49,2025-05-30 00:10:44,2335,8121691335402,/support/billing,busy,AID011,Escalated
53,2025-05-19 00:27:01,2025-05-19 00:39:11,730,6791400454,/info/location,busy,AID011,Left Message
54,2025-05-15 20:15:46,2025-05-15 20:32:39,1013,7225093150,/support/tech,completed,AID041,No Answer
55,2025-06-05 04:26:25,2025-06-05 05:15:36,2951,51655494940656,/sales/new,busy,AID006,No Answer
56,2025-05-20 22:27:17,2025-05-20 22:58:20,1863,622577309156326,/support/billing,failed,AID049,Callback Scheduled
57,2025-06-03 03:33:59,2025-06-03 03:39:10,311,228320967337,/info/location,busy,AID015,Left Message
58,2025-05-29 12:31:47,2025-05-29 13:04:31,1964,2085488198,/main/menu1,missed,AID001,No Answer
59,2025-05-14 12:37:55,2025-05-14 13:23:33,2738,2957087560420,/main/menu3,missed,AID037,Escalated
60,2025-05-11 00:59:01,2025-05-11 01:02:33,212,71975923865871,/feedback,no_answer,AID016,Left Message
61,2025-06-08 07:03:02,2025-06-08 07:55:23,3141,0900944210113,/info/location,missed,AID029,Escalated
62,2025-05-24 04:12:47,2025-05-24 04:46:54,2047,2349587865265,/sales/new,failed,AID050,Callback Scheduled
63,2025-05-20 19:11:28,2025-05-20 20:10:28,3540,5403109503,/sales/new,busy,AID017,No Answer
64,2025-05-23 22:33:43,2025-05-23 22:59:51,1568,233419877696199,/main/menu1,failed,AID007,Callback Scheduled
65,2025-05-15 02:25:03,2025-05-15 02:34:39,576,6582539097,/sales/upgrade,completed,AID016,Left Message
66,2025-06-02 18:15:03,2025-06-02 18:46:02,1859,814132844332,/support/tech,no_answer,AID030,Callback Scheduled
67,2025-05-20 00:37:32,2025-05-20 00:59:12,1300,6721125466,/support/tech,busy,AID035,Resolved
68,2025-06-08 08:25:15,2025-06-08 08:59:02,2027,1813907792,/support/billing,failed,AID039,Resolved
69,2025-05-20 20:20:22,2025-05-20 20:56:22,2160,2220720252,/sales/upgrade,failed,AID031,Resolved
70,2025-06-04 05:45:59,2025-06-04 06:02:52,1013,35115937146971,/feedback,missed,AID040,Resolved
71,2025-05-28 07:15:23,2025-05-28 07:38:05,1362,533914757228195,/main/menu3,busy,AID047,Callback Scheduled
72,2025-06-02 04:26:01,2025-06-02 04:26:31,30,96890675765,/sales/upgrade,failed,AID033,Left Message
73,2025-05-15 00:36:05,2025-05-15 01:20:45,2680,9021740992401,/support/tech,missed,AID049,Callback Scheduled
74,2025-06-02 08:14:36,2025-06-02 08:28:04,808,1911492293349,/main/menu3,completed,AID011,Resolved
75,2025-05-15 04:06:31,2025-05-15 04:31:24,1493,65864540008064,/main/menu1,completed,AID019,Callback Scheduled
76,2025-05-28 05:50:47,2025-05-28 06:10:25,1178,0382616602,/main/menu3,no_answer,AID026,Resolved
77,2025-05-14 08:43:31,2025-05-14 08:52:05,514,640279431004093,/support/tech,failed,AID049,Resolved
78,2025-06-05 02:03:31,2025-06-05 02:44:13,2442,083774691668,/main/menu3,no_answer,AID034,Left Message
79,2025-05-18 23:48:56,2025-05-18 23:59:41,645,0334888593,/support/billing,missed,AID019,Resolved
80,2025-06-07 14:05:53,2025-06-07 14:29:47,1434,55386999687936,/feedback,missed,AID023,Escalated
81,2025-06-07 05:19:53,2025-06-07 05:34:21,868,009415224853997,/main/menu2,failed,AID028,No Answer
82,2025-05-21 16:51:30,2025-05-21 17:00:02,512,3694521932453,/main/menu3,busy,AID031,Escalated
83,2025-05-20 10:02:51,2025-05-20 10:24:53,1322,7829319125450,/info/location,completed,AID010,Escalated
84,2025-05-20 22:08:57,2025-05-20 22:22:27,810,34000622987,/main/menu2,missed,AID046,Left Message
85,2025-06-01 16:08:23,2025-06-01 16:27:32,1149,00441062135,/main/menu3,missed,AID034,Resolved
86,2025-05-23 07:40:39,2025-05-23 08:28:20,2861,713823522429175,/info/location,completed,AID050,Escalated
87,2025-05-22 18:28:06,2025-05-22 19:24:10,3364,56500752249616,/info/location,no_answer,AID014,Callback Scheduled
88,2025-05-26 22:47:00,2025-05-26 23:24:25,2245,4861122010143,/main/menu2,completed,AID021,Resolved
89,2025-05-21 09:35:50,2025-05-21 10:14:13,2303,26071124787,/main/menu2,completed,AID033,No Answer
90,2025-05-28 04:15:29,2025-05-28 04:26:12,643,6818393826,/support/billing,missed,AID026,Callback Scheduled
91,2025-05-30 02:24:04,2025-05-30 03:06:19,2535,917499138813,/main/menu1,busy,AID016,Left Message
92,2025-05-30 20:26:55,2025-05-30 21:13:16,2781,78733530363,/main/menu2,busy,AID038,Left Message
93,2025-05-14 02:53:58,2025-05-14 02:55:49,111,9689543774,/sales/upgrade,completed,AID032,Left Message
94,2025-05-30 19:10:23,2025-05-30 19:44:24,2041,5480899145,/support/tech,busy,AID050,Callback Scheduled
95,2025-05-29 21:17:19,2025-05-29 22:16:26,3547,393182137870,/main/menu1,failed,AID047,Escalated
96,2025-05-30 23:32:24,2025-05-31 00:15:37,2593,3198072042998,/main/menu3,completed,AID013,Left Message
97,2025-05-17 16:15:58,2025-05-17 16:30:59,901,898214762680,/sales/new,no_answer,AID035,No Answer
98,2025-05-16 21:46:48,2025-05-16 22:00:17,809,9439824344638,/main/menu1,failed,AID031,No Answer
99,2025-05-14 15:17:17,2025-05-14 15:33:48,991,472116112519456,/sales/upgrade,failed,AID010,Escalated
100,2025-05-26 13:54:16,2025-05-26 14:44:48,3032,7989898482,/info/hours,missed,AID003,Escalated
101,2025-05-13 03:44:36,2025-05-13 04:12:08,1652,09868131821,/support/billing,no_answer,AID038,Callback Scheduled
102,2025-05-17 16:54:58,2025-05-17 17:14:20,1162,175709831956589,/main/menu2,failed,AID040,Escalated
103,2025-05-21 18:01:36,2025-05-21 18:14:58,802,52135801224435,/info/location,busy,AID045,Left Message
104,2025-05-26 10:00:37,2025-05-26 10:23:10,1353,469359683920,/sales/new,missed,AID042,Left Message
105,2025-06-06 21:54:25,2025-06-06 22:22:23,1678,70911473210,/sales/new,failed,AID006,Callback Scheduled
106,2025-05-10 05:25:13,2025-05-10 06:01:02,2149,89131975102,/main/menu1,completed,AID008,Left Message
107,2025-05-10 01:42:26,2025-05-10 01:46:38,252,28423377189,/main/menu2,busy,AID019,No Answer
108,2025-06-02 02:10:13,2025-06-02 02:21:35,682,33450721470140,/info/location,busy,AID017,Callback Scheduled
109,2025-05-15 08:39:12,2025-05-15 09:12:14,1982,2867205997796,/sales/upgrade,missed,AID017,Callback Scheduled
110,2025-05-18 05:27:04,2025-05-18 06:09:20,2536,99419100179,/sales/upgrade,busy,AID012,Escalated
111,2025-05-21 04:06:25,2025-05-21 05:00:04,3219,27668852220,/main/menu2,failed,AID008,Left Message
112,2025-05-17 14:51:11,2025-05-17 15:24:16,1985,1563424511,/info/hours,failed,AID010,Resolved
113,2025-06-06 19:25:04,2025-06-06 19:47:38,1354,73219691119729,/main/menu3,completed,AID012,No Answer
114,2025-05-19 15:17:24,2025-05-19 16:13:13,3349,59189525721003,/main/menu2,busy,AID004,Callback Scheduled
115,2025-05-12 12:49:38,2025-05-12 13:48:01,3503,201944129280858,/sales/upgrade,failed,AID045,Escalated
116,2025-05-25 14:39:39,2025-05-25 14:43:43,244,2681698054,/support/billing,busy,AID038,Escalated
117,2025-05-10 19:30:24,2025-05-10 19:59:12,1728,33475105418682,/main/menu1,failed,AID044,Escalated
118,2025-05-27 01:41:22,2025-05-27 02:26:40,2718,390833226079091,/support/billing,completed,AID024,Resolved
