Call_ID,Call_Start_Time,Call_End_Time,Call_Duration_sec,Caller_Number,IVR_Path,Call_Status,Agent_ID,Call_Disposition
1,2025-05-15 18:17:30,2025-05-15 19:09:21,3111,20493156029,/sales/upgrade,no_answer,A103,Resolved
2,2025-06-02 19:41:44,2025-06-02 20:05:52,1448,691770205631,/main/menu3,no_answer,A103,Resolved
3,2025-06-03 05:40:10,2025-06-03 05:56:35,985,846857015801,/support/tech,busy,A106,Escalated
4,2025-05-11 00:00:49,2025-05-11 00:15:47,898,29044896478,/main/menu3,no_answer,A108,Escalated
5,2025-05-24 13:13:37,2025-05-24 13:57:18,2621,69666466924391,/feedback,completed,A106,Callback Scheduled
6,2025-05-17 13:02:28,2025-05-17 13:46:55,2667,398828446970,/sales/new,busy,A107,Resolved
7,2025-05-31 07:18:52,2025-05-31 07:28:08,556,3768775435842,/sales/upgrade,failed,A101,Callback Scheduled
8,2025-06-05 00:30:05,2025-06-05 01:12:01,2516,1251482409,/main/menu3,failed,A103,Escalated
9,2025-05-23 20:50:40,2025-05-23 21:48:08,3448,470428587035,/feedback,missed,A104,No Answer
10,2025-05-24 22:55:58,2025-05-24 23:48:53,3175,17508632476,/feedback,no_answer,A106,Resolved
11,2025-05-11 07:33:42,2025-05-11 08:16:18,2556,36620076050,/main/menu2,missed,A109,No Answer
12,2025-06-05 05:54:30,2025-06-05 06:35:27,2457,3268044903382,/info/location,failed,A104,No Answer
13,2025-05-20 18:42:26,2025-05-20 19:01:50,1164,67022919767,/sales/new,no_answer,A110,No Answer
14,2025-05-09 16:33:07,2025-05-09 16:58:19,1512,78010787787914,/main/menu2,failed,A108,Callback Scheduled
15,2025-06-05 03:35:19,2025-06-05 03:48:16,777,8374153736775,/main/menu2,missed,A110,Left Message
16,2025-06-02 22:09:10,2025-06-02 23:05:47,3397,772792484032383,/main/menu3,failed,A102,Resolved
17,2025-05-25 13:07:50,2025-05-25 13:23:46,956,676768712119482,/info/location,failed,A109,Callback Scheduled
18,2025-06-07 14:31:57,2025-06-07 15:30:47,3530,44669791596,/sales/new,failed,A106,Left Message
19,2025-06-08 14:56:52,2025-06-08 15:35:48,2336,9191185148050,/sales/new,failed,A109,Escalated
20,2025-05-21 18:54:00,2025-05-21 19:44:03,3003,6776690171,/feedback,failed,A108,Resolved
21,2025-05-21 23:23:21,2025-05-22 00:07:46,2665,267765436079,/info/hours,no_answer,A102,Escalated
22,2025-05-12 18:15:27,2025-05-12 19:03:37,2890,02172546259,/support/tech,busy,A105,Callback Scheduled
23,2025-06-06 00:13:02,2025-06-06 00:53:40,2438,64703523765,/main/menu2,failed,A102,Callback Scheduled
24,2025-06-03 02:33:29,2025-06-03 03:02:53,1764,83433735789633,/support/billing,missed,A104,Resolved
25,2025-05-10 02:56:06,2025-05-10 03:32:34,2188,80308567443,/main/menu2,failed,A106,Left Message
26,2025-05-27 08:51:29,2025-05-27 09:37:07,2738,164287324659753,/feedback,completed,A101,Resolved
27,2025-05-19 03:49:38,2025-05-19 04:20:18,1840,90698281652,/feedback,busy,A110,Escalated
28,2025-05-14 20:41:28,2025-05-14 21:06:56,1528,2973920113119,/support/billing,busy,A108,Resolved
29,2025-06-03 20:08:26,2025-06-03 20:56:04,2858,844924329454,/support/billing,completed,A105,Left Message
30,2025-05-14 07:04:04,2025-05-14 08:03:55,3591,130831240747051,/main/menu1,completed,A110,Left Message
31,2025-05-23 10:30:14,2025-05-23 10:35:06,292,43772705290261,/feedback,completed,A105,Left Message
32,2025-05-16 17:07:37,2025-05-16 17:40:36,1979,349065781289,/feedback,missed,A107,Resolved
33,2025-05-21 07:54:28,2025-05-21 08:25:34,1866,170133937892514,/support/billing,failed,A105,Callback Scheduled
34,2025-05-21 15:58:47,2025-05-21 16:04:22,335,246252495983328,/info/location,busy,A110,Escalated
